time_start,exchange,market,open,high,low,close,volume
31/03/2016 00:00,BITF,BTC/USD,413.04,413.27,413.04,413.27,8.9537465
31/03/2016 00:01,BITF,BTC/USD,413.27,413.27,413.27,413.27,0
31/03/2016 00:02,BITF,BTC/USD,413.27,413.27,413.27,413.27,0
31/03/2016 00:03,BITF,BTC/USD,413.27,413.27,413.27,413.27,4.726186
31/03/2016 00:04,BITF,BTC/USD,413.27,413.27,413.27,413.27,0
31/03/2016 00:05,BITF,BTC/USD,413.26,413.26,413.26,413.26,0.03515718
31/03/2016 00:06,BITF,BTC/USD,413.26,413.26,413.26,413.26,0
31/03/2016 00:07,BITF,BTC/USD,413.25,413.25,413.25,413.25,0.24729037
31/03/2016 00:08,BITF,BTC/USD,413.27,413.27,413.27,413.27,1.5
31/03/2016 00:09,BITF,BTC/USD,413.27,413.28,413.27,413.28,9.27629496
31/03/2016 00:10,BITF,BTC/USD,413.28,413.51,413.28,413.51,43.64005163
31/03/2016 00:11,BITF,BTC/USD,414.25,414.93,414.25,414.93,145.1566291
31/03/2016 00:12,BITF,BTC/USD,414.88,414.9,414.88,414.9,0.1309879
31/03/2016 00:13,BITF,BTC/USD,414.98,414.99,414.98,414.98,0.65589598
31/03/2016 00:14,BITF,BTC/USD,414.98,414.98,414.98,414.98,0.01226425
31/03/2016 00:15,BITF,BTC/USD,414.98,414.98,414.98,414.98,0.03889585
31/03/2016 00:16,BITF,BTC/USD,414.98,414.98,414.98,414.98,1.062
31/03/2016 00:17,BITF,BTC/USD,414.98,414.98,414.98,414.98,0.48398974
31/03/2016 00:18,BITF,BTC/USD,414.99,414.99,414.99,414.99,26.18839859
31/03/2016 00:19,BITF,BTC/USD,414.98,414.98,414.98,414.98,0.1
31/03/2016 00:20,BITF,BTC/USD,414.98,414.98,414.98,414.98,0.2418
31/03/2016 00:21,BITF,BTC/USD,414.98,414.98,414.98,414.98,0
31/03/2016 00:22,BITF,BTC/USD,414.99,414.99,414.99,414.99,0.07697763
